instancia,nombre,t_ordenamiento,t_lineal,t_binaria
0,Venusaur,0.000076,0.000004,0.000000
0,Venusaur,0.000076,0.000003,0.000000
0,Venusaur,0.000076,0.000003,0.000000
0,Venusaur,0.000076,0.000003,0.000000
0,Ivysaur,0.000076,0.000003,0.000000
1,Venusaur,0.000080,0.000003,0.000000
1,Venusaur,0.000080,0.000003,0.000000
1,Venusaur,0.000080,0.000003,0.000000
1,Venusaur,0.000080,0.000003,0.000000
1,Bulbasaur,0.000080,0.000003,0.000000
2,Venusaur,0.000071,0.000003,0.000000
2,Venusaur,0.000071,0.000003,0.000000
2,Venusaur,0.000071,0.000003,0.000000
2,Venusaur,0.000071,0.000003,0.000000
2,Squirtle,0.000071,0.000003,0.000000
3,Venusaur,0.000072,0.000003,0.000000
3,Venusaur,0.000072,0.000003,0.000000
3,Venusaur,0.000072,0.000003,0.000000
3,Venusaur,0.000072,0.000003,0.000000
3,Ivysaur,0.000072,0.000003,0.000000
4,Venusaur,0.000088,0.000005,0.000000
4,Venusaur,0.000088,0.000004,0.000000
4,Venusaur,0.000088,0.000003,0.000000
4,Venusaur,0.000088,0.000003,0.000000
4,Bulbasaur,0.000088,0.000003,0.000000
5,Venusaur,0.000073,0.000003,0.000000
5,Venusaur,0.000073,0.000003,0.000000
5,Venusaur,0.000073,0.000003,0.000000
5,Venusaur,0.000073,0.000003,0.000000
5,Wartortle,0.000073,0.000003,0.000000
6,Venusaur,0.000073,0.000003,0.000000
6,Venusaur,0.000073,0.000003,0.000000
6,Venusaur,0.000073,0.000003,0.000000
6,Venusaur,0.000073,0.000003,0.000000
6,Ivysaur,0.000073,0.000003,0.000000
7,Venusaur,0.000073,0.000003,0.000000
7,Venusaur,0.000073,0.000003,0.000000
7,Venusaur,0.000073,0.000003,0.000000
7,Venusaur,0.000073,0.000003,0.000000
7,Bulbasaur,0.000073,0.000003,0.000000
8,Venusaur,0.000102,0.000005,0.000000
8,Venusaur,0.000102,0.000004,0.000000
8,Venusaur,0.000102,0.000003,0.000000
8,Venusaur,0.000102,0.000003,0.000000
8,Bulbasaur,0.000102,0.000003,0.000000
9,Venusaur,0.000071,0.000003,0.000000
9,Venusaur,0.000071,0.000003,0.000000
9,Venusaur,0.000071,0.000003,0.000000
9,Venusaur,0.000071,0.000003,0.000000
9,Wartortle,0.000071,0.000003,0.000000
10,Venusaur,0.000072,0.000003,0.000000
10,Venusaur,0.000072,0.000003,0.000000
10,Venusaur,0.000072,0.000003,0.000000
10,Venusaur,0.000072,0.000003,0.000000
10,Ivysaur,0.000072,0.000003,0.000000
11,Venusaur,0.000109,0.000005,0.000000
11,Venusaur,0.000109,0.000004,0.000000
11,Venusaur,0.000109,0.000003,0.000000
11,Venusaur,0.000109,0.000003,0.000000
11,Bulbasaur,0.000109,0.000003,0.000000
12,Venusaur,0.000075,0.000003,0.000000
12,Venusaur,0.000075,0.000003,0.000000
12,Venusaur,0.000075,0.000003,0.000000
12,Venusaur,0.000075,0.000003,0.000000
12,Bulbasaur,0.000075,0.000003,0.000000
13,Venusaur,0.000078,0.000003,0.000000
13,Venusaur,0.000078,0.000003,0.000000
13,Venusaur,0.000078,0.000003,0.000000
13,Venusaur,0.000078,0.000003,0.000000
13,Wartortle,0.000078,0.000003,0.000000
14,Venusaur,0.000079,0.000003,0.000000
14,Venusaur,0.000079,0.000003,0.000000
14,Venusaur,0.000079,0.000004,0.000000
14,Venusaur,0.000079,0.000003,0.000000
14,Ivysaur,0.000079,0.000003,0.000000
15,Venusaur,0.000073,0.000003,0.000000
15,Venusaur,0.000073,0.000003,0.000000
15,Venusaur,0.000073,0.000003,0.000000
15,Venusaur,0.000073,0.000003,0.000000
15,Squirtle,0.000073,0.000003,0.000000
16,Venusaur,0.000083,0.000003,0.000000
16,Venusaur,0.000083,0.000003,0.000000
16,Venusaur,0.000083,0.000004,0.000000
16,Venusaur,0.000083,0.000003,0.000001
16,VenusaurMega Venusaur,0.000083,0.000003,0.000000
17,Venusaur,0.000072,0.000003,0.000001
17,Venusaur,0.000072,0.000003,0.000000
17,Venusaur,0.000072,0.000003,0.000000
17,Venusaur,0.000072,0.000003,0.000000
17,Bulbasaur,0.000072,0.000003,0.000002
18,Venusaur,0.000074,0.000003,0.000001
18,Venusaur,0.000074,0.000003,0.000001
18,Venusaur,0.000074,0.000003,0.000001
18,Venusaur,0.000074,0.000003,0.000001
18,Charmeleon,0.000074,0.000004,0.000001
19,Venusaur,0.000073,0.000003,0.000001
19,Venusaur,0.000073,0.000003,0.000001
19,Venusaur,0.000073,0.000003,0.000001
19,Venusaur,0.000073,0.000003,0.000001
19,Ivysaur,0.000073,0.000004,0.000001
20,Venusaur,0.000083,0.000004,0.000001
20,Venusaur,0.000083,0.000003,0.000001
20,Venusaur,0.000083,0.000003,0.000001
20,Venusaur,0.000083,0.000003,0.000001
20,VenusaurMega Venusaur,0.000083,0.000004,0.000001
21,Venusaur,0.000075,0.000004,0.000001
21,Venusaur,0.000075,0.000004,0.000001
21,Venusaur,0.000075,0.000004,0.000001
21,Venusaur,0.000075,0.000004,0.000001
21,Bulbasaur,0.000075,0.000004,0.000001
22,Venusaur,0.000073,0.000003,0.000001
22,Venusaur,0.000073,0.000003,0.000001
22,Venusaur,0.000073,0.000003,0.000001
22,Venusaur,0.000073,0.000003,0.000000
22,Wartortle,0.000073,0.000003,0.000000
23,Venusaur,0.000075,0.000003,0.000001
23,Venusaur,0.000075,0.000003,0.000000
23,Venusaur,0.000075,0.000003,0.000000
23,Venusaur,0.000075,0.000003,0.000000
23,Ivysaur,0.000075,0.000003,0.000000
24,Venusaur,0.000073,0.000003,0.000000
24,Venusaur,0.000073,0.000003,0.000000
24,Venusaur,0.000073,0.000003,0.000000
24,Venusaur,0.000073,0.000003,0.000000
24,VenusaurMega Venusaur,0.000073,0.000003,0.000000
25,Venusaur,0.000071,0.000003,0.000000
25,Venusaur,0.000071,0.000003,0.000000
25,Venusaur,0.000071,0.000004,0.000000
25,Venusaur,0.000071,0.000003,0.000000
25,Bulbasaur,0.000071,0.000003,0.000001
26,Venusaur,0.000073,0.000004,0.000000
26,Venusaur,0.000073,0.000003,0.000000
26,Venusaur,0.000073,0.000003,0.000000
26,Venusaur,0.000073,0.000003,0.000000
26,Charmeleon,0.000073,0.000004,0.000000
27,Venusaur,0.000072,0.000003,0.000000
27,Venusaur,0.000072,0.000003,0.000000
27,Venusaur,0.000072,0.000003,0.000000
27,Venusaur,0.000072,0.000003,0.000000
27,Ivysaur,0.000072,0.000003,0.000000
28,Venusaur,0.000085,0.000003,0.000000
28,Venusaur,0.000085,0.000003,0.000000
28,Venusaur,0.000085,0.000003,0.000000
28,Venusaur,0.000085,0.000003,0.000000
28,VenusaurMega Venusaur,0.000085,0.000003,0.000000
29,Venusaur,0.000077,0.000003,0.000000
29,Venusaur,0.000077,0.000003,0.000000
29,Venusaur,0.000077,0.000003,0.000000
29,Venusaur,0.000077,0.000003,0.000000
29,Bulbasaur,0.000077,0.000003,0.000000
30,Venusaur,0.000072,0.000003,0.000000
30,Venusaur,0.000072,0.000003,0.000000
30,Venusaur,0.000072,0.000003,0.000000
30,Venusaur,0.000072,0.000003,0.000000
30,Ivysaur,0.000072,0.000003,0.000000
31,Venusaur,0.000073,0.000003,0.000000
31,Venusaur,0.000073,0.000003,0.000000
31,Venusaur,0.000073,0.000003,0.000000
31,Venusaur,0.000073,0.000003,0.000000
