instancia,selectionSort,mergeSort
0,1.195117,0.008867
1,1.193788,0.008972
2,1.193260,0.009087
3,1.399531,0.008990
4,1.196459,0.008887
5,1.195031,0.009057
6,1.192315,0.009044
7,1.197742,0.008840
8,1.192452,0.009162
9,1.195322,0.008960
10,1.192419,0.009703
11,1.192707,0.009009
12,1.192997,0.009208
13,1.197821,0.008886
14,1.255960,0.009113
15,1.193488,0.009125
16,1.192876,0.008847
17,1.191653,0.008946
18,1.193176,0.009105
19,1.192710,0.008815
20,1.194804,0.009085
21,1.197665,0.008984
22,1.191716,0.008852
23,1.194436,0.008981
24,1.203453,0.009740
25,1.243958,0.008897
26,1.194435,0.009363
27,1.192201,0.009050
28,1.191786,0.008898
29,1.193382,0.008947
30,1.190292,0.009133
31,1.194471,0.008929
32,1.194781,0.008982
33,1.192985,0.009079
34,1.194116,0.008884
35,1.208088,0.008925
36,1.206719,0.008960
37,1.192734,0.008891
38,1.193054,0.008891
39,1.192475,0.008966
40,1.192716,0.008981
41,1.193231,0.008873
42,1.191820,0.009031
43,1.192103,0.008953
44,1.192992,0.008986
45,1.193383,0.009001
46,1.226442,0.010525
47,1.205402,0.009002
48,1.192712,0.009115
49,1.195863,0.009129
50,1.191319,0.009072
51,1.190598,0.009014
52,1.192957,0.009090
53,1.199849,0.009189
54,1.192315,0.009108
55,1.191888,0.008991
56,1.198547,0.008816
57,1.244309,0.009685
58,1.197615,0.008987
59,1.192543,0.008848
60,1.194794,0.009118
61,1.191875,0.009627
62,1.192623,0.008961
63,1.191628,0.008931
64,1.195675,0.009420
65,1.241691,0.009149
66,1.207011,0.009228
67,1.192755,0.008987
68,1.256577,0.008925
69,1.207288,0.008940
70,1.192887,0.009078
71,1.192457,0.008811
72,1.192315,0.009078
73,1.195087,0.008952
74,1.193755,0.009070
75,1.195820,0.008968
76,1.204285,0.009007
77,1.195954,0.008997
78,1.195411,0.008932
79,1.318076,0.009354
80,1.192799,0.008819
81,1.190858,0.008897
82,1.197520,0.008984
83,1.191648,0.009051
84,1.198613,0.008960
85,1.193529,0.009005
86,1.191212,0.008921
87,1.193107,0.009257
88,1.191581,0.009029
89,1.192877,0.008818
90,1.337029,0.008979
91,1.235841,0.008987
92,1.243672,0.008925
93,1.241467,0.009293
94,1.231327,0.009037
95,1.233146,0.009918
96,1.244135,0.008877
97,1.234498,0.009075
98,1.242203,0.009019
99,1.243582,0.009174
