instancia;selectionSort;mergeSort
0;0,076681;0,002254
1;0,078110;0,001919
2;0,076465;0,001861
3;0,073504;0,001970
4;0,075100;0,001917
5;0,076937;0,001910
6;0,075806;0,001907
7;0,074116;0,002292
8;0,076362;0,001899
9;0,075750;0,001911
10;0,073702;0,002005
11;0,076771;0,001912
12;0,076962;0,001905
13;0,073342;0,001947
14;0,074128;0,002039
15;0,076716;0,001916
16;0,076526;0,001914
17;0,074612;0,001995
18;0,076640;0,001910
19;0,078026;0,002036
20;0,075249;0,001965
21;0,076165;0,002063
22;0,076618;0,001914
23;0,076182;0,001912
24;0,075058;0,001955
25;0,075086;0,001914
26;0,076339;0,002150
27;0,076273;0,001905
28;0,073877;0,002011
29;0,076466;0,001922
30;0,077414;0,001913
31;0,074434;0,001942
32;0,073788;0,001858
33;0,073123;0,001857
34;0,073838;0,001904
35;0,073193;0,002009
36;0,076333;0,002333
37;0,077251;0,001917
38;0,073767;0,001944
39;0,074690;0,001937
40;0,076696;0,002061
41;0,080072;0,002089
42;0,077263;0,002064
43;0,076351;0,002042
44;0,075536;0,001913
45;0,077174;0,001941
46;0,075661;0,002089
47;0,075735;0,001858
48;0,076251;0,001920
49;0,074098;0,001928
50;0,075543;0,002046
51;0,074762;0,001860
52;0,075255;0,001924
53;0,075709;0,002042
54;0,075036;0,001861
55;0,073359;0,001863
56;0,073593;0,001930
57;0,073034;0,002013
58;0,073448;0,001861
59;0,073258;0,001884
60;0,073027;0,001979
61;0,073809;0,001861
62;0,074575;0,001864
63;0,073685;0,001936
64;0,075354;0,002001
65;0,073715;0,001890
66;0,073660;0,001890
67;0,074151;0,001986
68;0,073598;0,001879
69;0,073062;0,001915
70;0,073430;0,001938
71;0,073870;0,001993
72;0,073761;0,001862
73;0,073600;0,001952
74;0,073205;0,002008
75;0,073805;0,001861
76;0,074448;0,001857
77;0,073869;0,001988
78;0,074273;0,002044
79;0,076686;0,002077
80;0,079004;0,002006
81;0,075621;0,002063
82;0,075984;0,001910
83;0,078318;0,001910
84;0,080642;0,002088
85;0,078244;0,002092
86;0,074647;0,001864
87;0,075108;0,001915
88;0,073183;0,002114
89;0,078686;0,001993
90;0,073520;0,001890
91;0,072959;0,001872
92;0,073627;0,002034
93;0,074064;0,001991
94;0,073631;0,001862
95;0,074196;0,001893
96;0,073150;0,002011
97;0,074029;0,001979
98;0,092422;0,001995
99;0,076744;0,002054
