instancia;nombre;t_ordenamiento;t_lineal;t_binaria
0;Nidoqueen;0,003522;0,000644;0,000008
0;Abra;0,003522;0,000250;0,000004
0;Ponyta;0,003522;0,000273;0,000003
0;Persian;0,003522;0,000214;0,000003
0;Caterpie;0,003522;0,000216;0,000002
1;Nidoqueen;0,001752;0,000155;0,000002
1;PidgeotMega Pidgeot;0,001752;0,000174;0,000002
1;BeedrillMega Beedrill;0,001752;0,000137;0,000002
1;Gengar;0,001752;0,000144;0,000001
1;Pidgeot;0,001752;0,000167;0,000001
2;Nidoqueen;0,000579;0,000089;0,000001
2;Pidgeotto;0,000579;0,000084;0,000000
2;Vileplume;0,000579;0,000091;0,000001
2;Pikachu;0,000579;0,000080;0,000001
2;VenusaurMega Venusaur;0,000579;0,000086;0,000001
3;Nidoqueen;0,000581;0,000074;0,000001
3;Kadabra;0,000581;0,000070;0,000001
3;Mankey;0,000581;0,000072;0,000001
3;Spearow;0,000581;0,000071;0,000001
3;Machamp;0,000581;0,000088;0,000000
4;Nidoqueen;0,000557;0,000083;0,000001
4;Nidorina;0,000557;0,000082;0,000001
4;Arcanine;0,000557;0,000076;0,000001
4;GengarMega Gengar;0,000557;0,000075;0,000001
4;Farfetch'd;0,000557;0,000103;0,000001
5;Nidoqueen;0,000607;0,000074;0,000001
5;Ponyta;0,000607;0,000084;0,000001
5;Poliwrath;0,000607;0,000094;0,000001
5;Parasect;0,000607;0,000083;0,000001
5;Arbok;0,000607;0,000087;0,000001
6;Nidoqueen;0,000533;0,000075;0,000001
6;Graveler;0,000533;0,000075;0,000001
6;Pikachu;0,000533;0,000086;0,000001
6;Nidoking;0,000533;0,000074;0,000001
6;Oddish;0,000533;0,000089;0,000001
7;Nidoqueen;0,000532;0,000075;0,000001
7;Magneton;0,000532;0,000075;0,000001
7;Machamp;0,000532;0,000075;0,000001
7;Ekans;0,000532;0,000083;0,000001
7;Raticate;0,000532;0,000082;0,000001
8;Nidorina;0,000286;0,000075;0,000001
8;Grimer;0,000286;0,000079;0,000001
8;GengarMega Gengar;0,000286;0,000081;0,000001
8;Nidoran♂;0,000286;0,000073;0,000001
8;Ninetales;0,000286;0,000074;0,000001
9;Nidorina;0,000291;0,000075;0,000001
9;Vileplume;0,000291;0,000077;0,000001
9;Gloom;0,000291;0,000079;0,000001
9;Dewgong;0,000291;0,000095;0,000001
9;Golbat;0,000291;0,000082;0,000001
10;Nidoqueen;0,000288;0,000076;0,000001
10;Charizard;0,000288;0,000108;0,000001
